dataset,configuration,cvi,algorithm
circle,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.589417221126043,kernel_params=None,n_clusters=100,n_components=None,n_init=2,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.468459551608797,kernel_params=None,n_clusters=53,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.92222294617729,kernel_params=None,n_clusters=66,n_components=None,n_init=3,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.3154208158811564,kernel_params=None,n_clusters=16,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.0373746370759855,kernel_params=None,n_clusters=74,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.8087470323961599,kernel_params=None,n_clusters=72,n_components=None,n_init=17,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.674420303917619,kernel_params=None,n_clusters=32,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.692186110779195,kernel_params=None,n_clusters=19,n_components=None,n_init=10,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.811049390115676,kernel_params=None,n_clusters=43,n_components=None,n_init=17,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.4305405054364684,kernel_params=None,n_clusters=35,n_components=None,n_init=1,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
curves1,"[[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['mcclain_rao', -1], ['dunns_index', 1], ['banfeld_raferty', -1]]",meanshift
shapes,"[[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=True,cluster_all=True,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['s_dbw', -1], ['i_index', 1], ['banfeld_raferty', -1]]",meanshift
zelnik1,"[[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['s_dbw', -1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",meanshift
segment,"[[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=36)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=31)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=33)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=32)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=67)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=31)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=32)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=95)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=16)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=31)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
2d-4c,"[[DBSCAN(algorithm='kd_tree',eps=9,leaf_size=3,metric='cityblock',metric_params=None,min_samples=50,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=9,leaf_size=3,metric='l1',metric_params=None,min_samples=15,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=6,leaf_size=2,metric='l1',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=10,leaf_size=2,metric='euclidean',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=10,leaf_size=3,metric='manhattan',metric_params=None,min_samples=30,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=8,leaf_size=1,metric='l1',metric_params=None,min_samples=15,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=8,leaf_size=2,metric='euclidean',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=7,leaf_size=3,metric='manhattan',metric_params=None,min_samples=30,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=9,leaf_size=1,metric='l1',metric_params=None,min_samples=100,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=8,leaf_size=3,metric='euclidean',metric_params=None,min_samples=20,n_jobs=None,p=3)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
heart-statlog,"[[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=36)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=75)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=29)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=98)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=69)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=75)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=75)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=75)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=61)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=75)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
curves2,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.398064966352554,kernel_params=None,n_clusters=95,n_components=None,n_init=9,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.9795055404514512,kernel_params=None,n_clusters=28,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.301854265349769,kernel_params=None,n_clusters=81,n_components=None,n_init=9,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.75732104411645,kernel_params=None,n_clusters=98,n_components=None,n_init=1,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.2048534589603532,kernel_params=None,n_clusters=15,n_components=None,n_init=7,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.7389760017751916,kernel_params=None,n_clusters=92,n_components=None,n_init=11,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.8554401381993488,kernel_params=None,n_clusters=8,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.5006234446995386,kernel_params=None,n_clusters=89,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.417060410533572,kernel_params=None,n_clusters=62,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.0663586604675928,kernel_params=None,n_clusters=25,n_components=None,n_init=17,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
elliptical_10_2,"[[Birch(branching_factor=90,compute_labels=True,copy=True,n_clusters=3,threshold=0.6645083460712198)],[Birch(branching_factor=58,compute_labels=True,copy=True,n_clusters=3,threshold=0.3388241737796027)],[Birch(branching_factor=34,compute_labels=True,copy=False,n_clusters=3,threshold=1.0093378139721367)],[Birch(branching_factor=42,compute_labels=False,copy=False,n_clusters=3,threshold=1.4910608598778998)],[Birch(branching_factor=51,compute_labels=False,copy=True,n_clusters=3,threshold=1.9801665861898334)],[Birch(branching_factor=65,compute_labels=False,copy=True,n_clusters=3,threshold=1.9088194270422967)],[Birch(branching_factor=69,compute_labels=False,copy=False,n_clusters=3,threshold=0.4538580853353766)],[Birch(branching_factor=17,compute_labels=True,copy=True,n_clusters=3,threshold=1.3452615388213565)],[Birch(branching_factor=9,compute_labels=True,copy=False,n_clusters=3,threshold=1.2953293695483121)],[Birch(branching_factor=49,compute_labels=False,copy=False,n_clusters=3,threshold=1.4619084856762725)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
square2,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=0.7186486234386278,kernel_params=None,n_clusters=88,n_components=None,n_init=6,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.6844950859502499,kernel_params=None,n_clusters=29,n_components=None,n_init=9,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.775222262817088,kernel_params=None,n_clusters=11,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.9978906314270642,kernel_params=None,n_clusters=64,n_components=None,n_init=3,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.5138375627434044,kernel_params=None,n_clusters=93,n_components=None,n_init=19,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.2229936596449322,kernel_params=None,n_clusters=17,n_components=None,n_init=4,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.5233382033500908,kernel_params=None,n_clusters=20,n_components=None,n_init=7,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.5109304150858405,kernel_params=None,n_clusters=34,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.950184137241569,kernel_params=None,n_clusters=67,n_components=None,n_init=15,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=0.9012436356517859,kernel_params=None,n_clusters=79,n_components=None,n_init=15,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
zelnik2,"[[Birch(branching_factor=5,compute_labels=True,copy=False,n_clusters=3,threshold=1.5165826651355825)],[Birch(branching_factor=50,compute_labels=True,copy=True,n_clusters=3,threshold=0.20229017182791573)],[Birch(branching_factor=18,compute_labels=False,copy=False,n_clusters=3,threshold=0.5060166136140671)],[Birch(branching_factor=82,compute_labels=True,copy=True,n_clusters=3,threshold=1.9973690088985205)],[Birch(branching_factor=43,compute_labels=True,copy=True,n_clusters=3,threshold=1.4295485631915479)],[Birch(branching_factor=43,compute_labels=True,copy=True,n_clusters=3,threshold=0.20714109791510846)],[Birch(branching_factor=18,compute_labels=True,copy=True,n_clusters=3,threshold=0.2032973626089453)],[Birch(branching_factor=46,compute_labels=True,copy=True,n_clusters=3,threshold=0.22934492883972335)],[Birch(branching_factor=42,compute_labels=True,copy=False,n_clusters=3,threshold=0.252866076759973)],[Birch(branching_factor=97,compute_labels=True,copy=True,n_clusters=3,threshold=0.36307251403623453)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
zelnik3,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.1551542305464264,kernel_params=None,n_clusters=5,n_components=None,n_init=2,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.946917610898856,kernel_params=None,n_clusters=4,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.126004978014784,kernel_params=None,n_clusters=54,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.8857838334544017,kernel_params=None,n_clusters=19,n_components=None,n_init=2,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.9097760001767015,kernel_params=None,n_clusters=91,n_components=None,n_init=2,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.7853741839046993,kernel_params=None,n_clusters=5,n_components=None,n_init=3,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.391239425901877,kernel_params=None,n_clusters=34,n_components=None,n_init=18,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.5360482675092433,kernel_params=None,n_clusters=64,n_components=None,n_init=4,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.7667947172600327,kernel_params=None,n_clusters=7,n_components=None,n_init=4,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.7451458460810529,kernel_params=None,n_clusters=3,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
2d-20c-no0,"[[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=86)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=22)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=45)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=79)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=86)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=79)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=92)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=47)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=78)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=10)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
